qid,label,hallucination_score_manual,correctness_score_manual,semantic_similarity_manual,explanation,model,hallucination_score_auto,correctness_score_auto,completeness,relevance,regulatory_consistency,semantic_similarity_auto,category,manual_correct,auto_correct
151,correct,0,1,1,Correct: F-2 dependents allowed during STEM OPT.,VisaMate,0.043905325,0.956094675,0.853648918,0.858811822,0.4,0.853648918,Dependents (F-2),1,1
152,correct,0,1,1,Correct: divorce terminates F-2 status; must depart or change status.,VisaMate,0.236535764,0.763464236,0.794974115,0.844072375,0.2,0.794974115,Dependents (F-2),1,1
153,correct,0,1,1,Correct: F-2 dependents can travel independently with their own visa and I-20.,VisaMate,0.030873113,0.969126887,0.897089622,0.84575818,0.2,0.897089622,Dependents (F-2),1,1
154,correct,0,1,0.9,Correct: health insurance not federally required for F-2; schools may require it.,VisaMate,0.422892189,0.577107811,0.757026038,0.813160169,0,0.757026038,Dependents (F-2),1,0
155,correct,0,1,1,Accurately states F-2 children age out at 21 and must change status.,VisaMate,0.049784248,0.950215752,0.834052505,0.8282224,0.2,0.834052505,Dependents (F-2),1,1
156,correct,0,1,1,Correct: F-2 dependents may obtain a driver’s license based on state rules.,VisaMate,0.060474944,0.939525056,0.798416853,0.846186493,0,0.798416853,Dependents (F-2),1,1
157,correct,0,1,1,Correct: unauthorized employment violates F-2 status.,VisaMate,0.059366073,0.940633927,0.80211593,0.806798761,0.2,0.80211593,Dependents (F-2),1,1
158,correct,0,1,0.95,Correct: F-2 dependents may only volunteer in roles that meet labor law standards.,VisaMate,0.039390812,0.960609188,0.868697292,0.753538228,0.2,0.868697292,Dependents (F-2),1,1
159,correct,0,1,1,Correct: schools require financial proof before issuing dependent I-20s.,VisaMate,0.524171116,0.475828884,0.808326702,0.864093675,0.1,0.808326702,Dependents (F-2),1,0
160,correct,0,1,1,Correct: F-2 dependents cannot get SSNs because they lack work authorization.,VisaMate,0.050594721,0.949405279,0.831350931,0.829731578,0.1,0.831350931,Dependents (F-2),1,1
161,correct,0,1,1,Placeholder evaluation.,VisaMate,0.353352157,0.646647843,0.7943817,0.76244521,0,0.7943817,Tax,1,0
162,correct,0,1,1,Placeholder evaluation.,VisaMate,0.209799999,0.790200001,0.883980331,0.83163484,0,0.883980331,Tax,1,1
163,correct,0,1,1,Placeholder evaluation.,VisaMate,0.231558861,0.768441139,0.811438181,0.829362582,0,0.811438181,Tax,1,1
164,correct,0,1,1,Placeholder evaluation.,VisaMate,0.070095978,0.929904022,0.76634674,0.674669026,0.1,0.76634674,Tax,1,1
165,correct,0,1,1,Placeholder evaluation.,VisaMate,0.309989469,0.690010531,0.744424981,0.603581879,0.3,0.744424981,Tax,1,0
166,correct,0,1,1,Placeholder evaluation.,VisaMate,0.82033743,0.17966257,0.598875235,0.706333776,0.1,0.598875235,Tax,1,0
167,correct,0,1,1,Placeholder evaluation.,VisaMate,0.798769883,0.201230117,0.670767055,0.538401054,0,0.670767055,Tax,1,0
168,correct,0,1,1,Placeholder evaluation.,VisaMate,0.779985541,0.220014459,0.733381531,0.813148284,0,0.733381531,Tax,1,0
169,correct,0,1,1,Placeholder evaluation.,VisaMate,0.788902819,0.211097181,0.70365727,0.567973359,0,0.70365727,Tax,1,0
170,correct,0,1,1,Placeholder evaluation.,VisaMate,0.757177539,0.242822461,0.809408202,0.757747408,0,0.809408202,Tax,1,0
171,correct,0,1,1,Placeholder evaluation.,VisaMate,0.058648247,0.941351753,0.804505844,0.795065217,0,0.804505844,Tax,1,1
172,correct,0,1,1,Placeholder evaluation.,VisaMate,0.820150691,0.179849309,0.599422047,0.567372709,0,0.599422047,Tax,1,0
173,correct,0,1,1,Placeholder evaluation.,VisaMate,0.419616343,0.580383657,0.767945523,0.751310942,0.1,0.767945523,Tax,1,0
174,correct,0,1,1,Placeholder evaluation.,VisaMate,0.032420043,0.967579957,0.891903216,0.714864746,0,0.891903216,Tax,1,1
175,correct,0,1,1,Placeholder evaluation.,VisaMate,0.50906642,0.49093358,0.703111935,0.821045413,0,0.703111935,Tax,1,0
176,correct,0,1,1,Placeholder evaluation.,VisaMate,0.328314355,0.671685645,0.683474531,0.724639825,0.2,0.683474531,Tax,1,0
177,correct,0,1,1,Placeholder evaluation.,VisaMate,0.106975039,0.893024961,0.643455234,0.596899237,0.2,0.643455234,Tax,1,1
178,correct,0,1,1,Placeholder evaluation.,VisaMate,0.064250529,0.935749471,0.78583126,0.630202376,0.1,0.78583126,Tax,1,1
179,correct,0,1,1,Placeholder evaluation.,VisaMate,0.80021101,0.19978899,0.665963301,0.737139789,0,0.665963301,Tax,1,0
180,correct,0,1,1,Placeholder evaluation.,VisaMate,0.033769138,0.966230862,0.887436207,0.765426784,0,0.887436207,Tax,1,1
181,correct,0,1,1,Placeholder evaluation.,VisaMate,0.645419636,0.354580364,0.793045656,0.834895507,0.2,0.793045656,Long-term Planning,1,0
182,correct,0,1,1,Placeholder evaluation.,VisaMate,0.044687529,0.955312471,0.851041569,0.72141354,0.1,0.851041569,Long-term Planning,1,1
183,correct,0,1,1,Placeholder evaluation.,VisaMate,0.411275953,0.588724047,0.795746823,0.745387797,0.2,0.795746823,Long-term Planning,1,0
184,correct,0,1,1,Placeholder evaluation.,VisaMate,0.081164128,0.918835872,0.729452905,0.627007895,0.4,0.729452905,Long-term Planning,1,1
185,correct,0,1,1,Placeholder evaluation.,VisaMate,0.404760097,0.595239903,0.817435863,0.788093985,0.3,0.817435863,Long-term Planning,1,0
186,correct,0,1,1,Placeholder evaluation.,VisaMate,0.404477127,0.595522873,0.818409576,0.734126616,0.1,0.818409576,Long-term Planning,1,0
187,correct,0,1,1,Placeholder evaluation.,VisaMate,0.399909665,0.600090335,0.833701547,0.831783556,0,0.833701547,Long-term Planning,1,0
188,correct,0,1,1,Placeholder evaluation.,VisaMate,0.038100372,0.961899628,0.872998762,0.795088482,0.1,0.872998762,Long-term Planning,1,1
189,correct,0,1,1,Placeholder evaluation.,VisaMate,0.109486337,0.890513663,0.635045543,0.789394957,0.1,0.635045543,Long-term Planning,1,1
190,correct,0,1,1,Placeholder evaluation.,VisaMate,0.041642736,0.958357264,0.861187118,0.835130707,0.1,0.861187118,Long-term Planning,1,1
191,correct,0,1,1,Placeholder evaluation.,VisaMate,0.383942759,0.616057241,0.88685747,0.8454766,0.1,0.88685747,Long-term Planning,1,0
192,correct,0,1,1,Placeholder evaluation.,VisaMate,0.269779735,0.730220265,0.68406755,0.79980105,0.1,0.68406755,Long-term Planning,1,1
193,correct,0,1,1,Placeholder evaluation.,VisaMate,0.413084718,0.586915282,0.789741208,0.803749949,0.1,0.789741208,Long-term Planning,1,0
194,correct,0,1,1,Placeholder evaluation.,VisaMate,0.768555547,0.231444453,0.771437789,0.782950804,0.1,0.771437789,Long-term Planning,1,0
195,correct,0,1,1,Placeholder evaluation.,VisaMate,0.058859593,0.941140407,0.803801357,0.813194489,0.1,0.803801357,Long-term Planning,1,1
196,correct,0,1,1,Placeholder evaluation.,VisaMate,0.030451054,0.969548946,0.898524644,0.751510147,0.1,0.898524644,Long-term Planning,1,1
197,correct,0,1,1,Placeholder evaluation.,VisaMate,0.061458724,0.938541276,0.795128445,0.788363353,0.1,0.795128445,Long-term Planning,1,1
198,correct,0,1,1,Placeholder evaluation.,VisaMate,0.532546413,0.467453587,0.780400846,0.708499181,0.2,0.780400846,Long-term Planning,1,0
199,correct,0,1,1,Placeholder evaluation.,VisaMate,0.080919331,0.919080669,0.730260572,0.665241499,0.2,0.730260572,Long-term Planning,1,1
200,correct,0,1,1,Placeholder evaluation.,VisaMate,0.363106981,0.636893019,0.826680433,0.756088457,0.2,0.826680433,Long-term Planning,1,0
161,correct,0,1,0.97,Claude correctly states that all F-1 students must file taxes and identifies Forms 8843 and 1040-NR; no errors.,Claude,0.35571794,0.64428206,0.786553056,0.837866779,0,0.786553056,Tax,1,0
162,correct,0,1,0.96,Claude accurately explains the IRS five-year nonresident rule with no contradictions.,Claude,0.233523285,0.766476715,0.804922385,0.793903542,0,0.804922385,Tax,1,1
163,correct,0,0.95,0.93,Answer correctly states F-1 students may claim treaty benefits; details are accurate.,Claude,0.232100406,0.767899594,0.809665312,0.828257216,0,0.809665312,Tax,1,1
164,correct,0,1,0.97,Clearly states nonresident F-1 students do not pay FICA; fully matches IRS rules.,Claude,0.077204159,0.922795841,0.742652804,0.745257922,0.1,0.742652804,Tax,1,1
165,incorrect,0.55,0.45,0.35,Claude omits F-1 requirement of having employment authorization and a job offer; gives generic SSN rules instead.,Claude,0.829085558,0.170914442,0.569714807,0.736630345,0,0.569714807,Tax,0,0
166,correct,0,0.95,0.94,Correctly explains that excess scholarship amounts are taxable; fully aligned with IRS rules.,Claude,0.808625782,0.191374218,0.63791406,0.70530154,0,0.63791406,Tax,1,0
167,incorrect,0.65,0.4,0.3,Nonresident aliens generally cannot claim dependents; Claude incorrectly suggests eligibility using resident rules.,Claude,0.798145529,0.201854471,0.672848236,0.841434857,0,0.672848236,Tax,0,0
168,correct,0,1,0.98,Accurately states that federal and state taxes are filed separately; fully aligned.,Claude,0.788230587,0.211769413,0.705930515,0.77845286,0,0.705930515,Tax,1,0
169,partially_correct,0.25,0.75,0.82,Claude lists IRS penalties correctly but does not mention immigration implications; still mostly accurate.,Claude,0.83690093,0.16309907,0.543663568,0.657054759,0.1,0.543663568,Tax,0,0
170,correct,0,0.95,0.92,Correctly notes students may open accounts without SSN if the bank allows alternative ID.,Claude,0.785060389,0.214939611,0.716465369,0.741651527,0.1,0.716465369,Tax,1,0
171,correct,0,1,0.96,Accurately states F-1 students may receive refunds depending on withholding and treaties.,Claude,0.062041515,0.937958485,0.793208403,0.79292736,0.2,0.793208403,Tax,1,1
172,incorrect,0.65,0.35,0.3,Gold specifies F-1 nonresidents do NOT report foreign income; Claude gives generic worldwide-tax rules instead.,Claude,0.866951525,0.133048475,0.443494917,0.787407835,0,0.443494917,Tax,0,0
173,correct,0,0.95,0.94,Correct that OPT workers may contribute to retirement accounts if they have earned income.,Claude,0.433401723,0.566598277,0.721951178,0.752408716,0.2,0.721951178,Tax,1,0
174,correct,0,1,0.97,Accurately explains Form 8843 and confirms all F-1 students must file it even with no income.,Claude,0.420926948,0.579073052,0.76357684,0.701800601,0,0.76357684,Tax,1,0
175,correct,0,1,0.98,"Correctly states international students may use VITA, software, and advisors.",Claude,0.501956749,0.498043251,0.726810836,0.832102869,0.1,0.726810836,Tax,1,0
176,incorrect,0.75,0.25,0.22,Claude incorrectly claims CPT and OPT income are taxed differently; IRS treats them identically.,Claude,0.344127789,0.655872211,0.630685148,0.717684887,0.2,0.630685148,Tax,0,0
177,correct,0,0.95,0.93,Correctly explains multi-state tax filing obligations consistent with state tax rules.,Claude,0.809725198,0.190274802,0.634152739,0.667771305,0,0.634152739,Tax,1,0
178,incorrect,0.8,0.2,0.18,Nonresident aliens cannot claim education credits; Claude incorrectly states they can.,Claude,0.491566418,0.508433582,0.528079542,0.756002749,0,0.528079542,Tax,0,0
179,correct,0.05,0.9,0.89,Correctly states TA/RA income is taxable; small nuance issues but overall aligned.,Claude,0.814009807,0.185990193,0.619967308,0.730249518,0,0.619967308,Tax,1,0
180,incorrect,0.7,0.3,0.28,Claude gives generic FICA refund rules and misses the key F-1 exemption and Form 843 process.,Claude,0.422443264,0.577556736,0.758522452,0.754857517,0,0.758522452,Tax,0,0
181,correct,0,0.95,0.93,Claude accurately states that green card applications are allowed during OPT and outlines correct pathways.,Claude,0.297819499,0.702180501,0.785046115,0.840259948,0.3,0.785046115,Long-term Planning,1,1
182,correct,0,1,0.96,Claude clearly distinguishes H-1B (temporary dual-intent) from green card (permanent residence).,Claude,0.40803613,0.59196387,0.806553011,0.826421561,0,0.806553011,Long-term Planning,1,0
183,correct,0.05,0.9,0.9,Claude correctly states one cannot work for their own business after OPT without authorization; minor extra details added.,Claude,0.429823311,0.570176689,0.733922295,0.719772644,0.1,0.733922295,Long-term Planning,1,0
184,partially_correct,0.15,0.8,0.82,Claude provides valid options but does not emphasize loss of work authorization without new status.,Claude,0.100934792,0.899065208,0.663569895,0.668086176,0.2,0.663569895,Long-term Planning,0,1
185,correct,0,0.95,0.94,Claude aligns with gold: you must obtain a new visa status or new I-20 to return.,Claude,0.5525606,0.4474394,0.71368689,0.776402676,0,0.71368689,Long-term Planning,1,0
186,correct,0,0.95,0.92,Claude accurately states degree evaluations are needed for EB-2/EB-3 equivalency when applicable.,Claude,0.064726978,0.935273022,0.784243407,0.779885713,0.1,0.784243407,Long-term Planning,1,1
187,correct,0,1,0.97,Claude gives a fully accurate EB-2 vs EB-3 comparison aligned with USCIS definitions.,Claude,0.419961618,0.580038382,0.766794606,0.76262447,0,0.766794606,Long-term Planning,1,0
188,correct,0,1,0.98,Claude correctly explains EB-1A extraordinary ability self-petition rules and evidence criteria.,Claude,0.749731188,0.250268812,0.834229373,0.774492572,0,0.834229373,Long-term Planning,1,0
189,correct,0.05,0.9,0.9,Claude gives generally accurate timeframes; high-level but aligned with visa bulletin logic.,Claude,0.105553022,0.894446978,0.648109128,0.745027965,0.1,0.648109128,Long-term Planning,1,1
190,correct,0,1,0.98,Claude correctly states H-1B is dual-intent and can be maintained during green card processing.,Claude,0.42047461,0.57952539,0.765084633,0.797690411,0,0.765084633,Long-term Planning,1,0
191,correct,0,1,0.99,Claude’s NIW explanation matches USCIS’ Dhanasar framework perfectly.,Claude,0.395030177,0.604969823,0.849896819,0.808038676,0,0.849896819,Long-term Planning,1,0
192,correct,0.05,0.9,0.9,Claude correctly states F-1/OPT students may buy property; minor extraneous notes but no errors.,Claude,0.283705983,0.716294017,0.637646725,0.777957113,0.2,0.637646725,Long-term Planning,1,1
193,correct,0,0.95,0.92,Claude correctly explains that a PhD may help but is not required for green card eligibility.,Claude,0.432893994,0.567106006,0.723686686,0.827043976,0.1,0.723686686,Long-term Planning,1,0
194,correct,0.05,0.9,0.9,Claude accurately explains job loss impact depending on I-140/I-485 stage and AC21 portability.,Claude,0.084707283,0.915292717,0.717665442,0.686837063,0.2,0.717665442,Long-term Planning,1,1
195,correct,0,0.95,0.94,Claude correctly states H-1B workers may work for startups if employer-employee relationship exists.,Claude,0.433785089,0.566214911,0.720664278,0.780611687,0,0.720664278,Long-term Planning,1,0
196,correct,0,1,0.97,Claude accurately lists all material-change scenarios requiring an H-1B amendment.,Claude,0.054588186,0.945411814,0.81803938,0.756553716,0.1,0.81803938,Long-term Planning,1,1
197,correct,0,1,0.98,Claude correctly states H-1B workers cannot freelance; only work for petitioning employer or concurrent H-1B.,Claude,0.433450521,0.566549479,0.721860093,0.745341728,0.1,0.721860093,Long-term Planning,1,0
198,incorrect,0.7,0.3,0.22,Claude mixes USCIS premium processing with unrelated payment processing; does not answer immigration question.,Claude,0.583819128,0.416180872,0.609491795,0.751229562,0.1,0.609491795,Long-term Planning,0,0
199,incorrect,0.8,0.25,0.18,Claude incorrectly says volunteering is allowed; F-1/OPT cannot volunteer in a role normally paid.,Claude,0.779858612,0.220141388,0.733804627,0.737119026,0,0.733804627,Long-term Planning,0,0
200,partially_correct,0.2,0.8,0.78,"Claude lists many documents but omits specific F-1-required items: all I-20s, I-94s, EADs, I-797s.",Claude,0.808256854,0.191743146,0.639143819,0.78711726,0,0.639143819,Long-term Planning,0,0
1,partially_correct,0.2,0.75,0.8,Claude lists the correct core documents but adds inaccurate items like ESTA and non-required documents; core meaning aligns but details are off.,Claude,0.203068812,0.796931188,0.789770628,0.816994408,0.1,0.789770628,Initial F-1 Entry,0,1
1,partially_correct,0.4,0.7,0.6,"GPT-4o correctly identifies the four required documents but adds non-required items (financial proof, admission letter, appointment confirmation, additional documents) that are not federally mandated for entry, constituting advisory overreach beyond immigration requirements.",GPT4o,0.146745162,0.853254838,0.821960569,0.823958478,0.2,0.821960569,Initial F-1 Entry,0,1
10,incorrect,0.4,0.45,0.25,Claude gives general relocation advice and misses the SEVIS-mandated school check-in requirement.,Claude,0.912362751,0.087637249,0.292124165,0.614257638,0,0.292124165,Initial F-1 Entry,0,0
10,incorrect,0.1,0.3,0.1,GPT-4o provides generic relocation advice completely missing the immigration-specific requirement that schools must report registration in SEVIS and students must complete check-in to maintain F-1 status.,GPT4o,0.902291665,0.097708335,0.325694448,0.69247038,0.1,0.325694448,Initial F-1 Entry,0,0
100,correct,0,1,0.95,Accurately explains change of status to H-4 using I-539.,Claude,0.20267857,0.79732143,0.713293655,0.757115017,0.1,0.713293655,Grace Period,1,1
100,correct,0,1,0.95,"GPT-4o correctly explains changing to H-4 requires filing Form I-539 with supporting documents and maintaining current status until approval, accurately reflecting USCIS change-of-status procedures.",GPT4o,0.073843565,0.926156435,0.753915659,0.806714889,0.1,0.753915659,Grace Period,1,1
101,incorrect,0.5,0.45,0.5,Claude incorrectly implies DSOs can reinstate records; reinstatement is a USCIS process via I-539.,Claude,0.614339744,0.385660256,0.767015668,0.788811007,0.2,0.767015668,Admin Issues,0,0
101,correct,0,1,0.9,"GPT-4o correctly advises contacting DSO immediately for SEVIS correction through SEVP Help Desk or reinstatement if needed, accurately reflecting SEVP error correction procedures.",GPT4o,0.601842423,0.398157577,0.808673405,0.81474578,0.2,0.808673405,Admin Issues,1,0
102,correct,0,1,0.95,Correctly states DSO issues a corrected I-20.,Claude,0.159662083,0.840337917,0.727052317,0.83272151,0.2,0.727052317,Admin Issues,1,1
102,correct,0,1,0.95,"GPT-4o correctly explains DSO can issue corrected I-20 through SEVIS for administrative errors, consistent with SEVP procedures allowing DSOs to correct errors directly.",GPT4o,0.150179705,0.849820295,0.758660242,0.798184581,0.2,0.758660242,Admin Issues,1,1
103,correct,0,1,0.9,Correct distinction between USCIS error vs applicant error on EAD mistakes.,Claude,0.05767863,0.94232137,0.807737899,0.761002492,0.1,0.807737899,Admin Issues,1,1
103,correct,0,1,0.9,"GPT-4o correctly states USCIS error requires free replacement while applicant error requires new I-765 and fee, accurately reflecting USCIS EAD replacement policy.",GPT4o,0.068970141,0.931029859,0.770458117,0.766011676,0.1,0.770458117,Admin Issues,1,1
104,correct,0,1,0.9,Accurately states EAD expedite criteria.,Claude,0.062755012,0.937244988,0.790816626,0.784141815,0.1,0.790816626,Admin Issues,1,1
104,correct,0,1,0.95,"GPT-4o correctly lists USCIS expedite criteria including severe financial loss, humanitarian reasons, and USCIS error with discretionary approval, matching federal expedite request standards.",GPT4o,0.055989782,0.944010218,0.813367392,0.812974733,0.1,0.813367392,Admin Issues,1,1
105,partially_correct,0.3,0.7,0.8,"Correct that DSO issues a new I-20, but adds embassy and visa renewal guidance not tied to gold.",Claude,0.232121155,0.767878845,0.74476955,0.776274756,0.2,0.74476955,Admin Issues,0,1
105,correct,0,1,0.95,"GPT-4o correctly advises contacting DSO for replacement I-20 needed for reentry and notes CBP requires physical I-20, consistent with DHS reentry documentation requirements.",GPT4o,0.223504243,0.776495757,0.773504374,0.780672777,0.2,0.773504374,Admin Issues,1,1
106,correct,0,1,0.9,Matches gold: replacement EAD requires new I-765 and fee.,Claude,0.056549155,0.943450845,0.811502817,0.764210221,0.2,0.811502817,Admin Issues,1,1
106,correct,0,1,0.95,"GPT-4o correctly states lost EAD requires filing new Form I-765 with fee unless loss was USCIS error, accurately reflecting USCIS replacement policy.",GPT4o,0.064221176,0.935778824,0.785929413,0.768958532,0.1,0.785929413,Admin Issues,1,1
107,incorrect,0.5,0.45,0.6,Claims expired passport requires contacting program coordinators and discusses visas—gold explains simple renewal via home embassy only.,Claude,0.786902285,0.213097715,0.710239221,0.80395881,0.1,0.710239221,Admin Issues,0,0
107,correct,0,1,0.9,"GPT-4o correctly advises renewing passport with home country embassy/consulate and notes invalid passport may affect reentry but not F-1 status inside U.S., consistent with passport validity requirements.",GPT4o,0.434413705,0.565586295,0.718620982,0.771567103,0,0.718620982,Admin Issues,1,0
108,correct,0,1,0.95,Accurate: F-1 visas cannot be renewed in the U.S.,Claude,0.071359543,0.928640457,0.762134856,0.771528101,0.2,0.762134856,Admin Issues,1,1
108,correct,0,1,0.95,"GPT-4o correctly states F-1 visa revalidation inside U.S. is not possible and renewal must occur at consulate abroad except for automatic revalidation, accurately reflecting DOS visa renewal requirements.",GPT4o,0.058776043,0.941223957,0.804033063,0.821603589,0.2,0.804033063,Admin Issues,1,1
109,partially_correct,0.2,0.8,0.9,Correct process but adds USPS guidance irrelevant to gold.,Claude,0.068839418,0.931160582,0.770535272,0.781456198,0.2,0.770535272,Admin Issues,0,1
109,correct,0,1,0.9,"GPT-4o correctly advises contacting USCIS, submitting inquiry, updating address, and requesting replacement with USCIS determining fault for fee waiver, consistent with USCIS mail error procedures.",GPT4o,0.061536513,0.938463487,0.79487829,0.782925704,0.1,0.79487829,Admin Issues,1,1
11,correct,0,0.95,0.95,Claude correctly states the 1-academic-year rule and the graduate program exception.,Claude,0.060865143,0.939134857,0.797116191,0.611447795,0.2,0.797116191,CPT,1,1
11,correct,0,1,0.9,"GPT-4o correctly states the one full academic year requirement before CPT eligibility and notes the exception for graduate programs requiring immediate training, fully aligned with federal CPT regulations.",GPT4o,0.069421842,0.930578158,0.768593861,0.679068496,0.1,0.768593861,CPT,1,1
110,partially_correct,0.2,0.8,0.85,"Correct that DSOs correct SEVIS errors but adds student-initiated SEVP cases, which is not standard.",Claude,0.298008619,0.701991381,0.784404941,0.815637983,0.3,0.784404941,Admin Issues,0,1
110,correct,0,1,0.95,"GPT-4o correctly states DSO must correct SEVIS errors through SEVIS system or Help Desk, accurately reflecting that USCIS doesn't directly handle SEVIS data corrections.",GPT4o,0.287415799,0.712584201,0.819725113,0.767693491,0.3,0.819725113,Admin Issues,1,1
111,incorrect,0.45,0.55,0.6,"Gold says CBP Deferred Inspection corrects I-94; Claude incorrectly instructs filing I-102, which is unnecessary in most cases.",Claude,0.074192228,0.925807772,0.752692572,0.78647338,0.3,0.752692572,Admin Issues,0,1
111,correct,0,1,0.95,"GPT-4o correctly advises requesting I-94 correction with CBP through Deferred Inspection office, accurately reflecting that CBP controls I-94 admissions data, not USCIS.",GPT4o,0.189288066,0.810711934,0.758240407,0.790372058,0.2,0.758240407,Admin Issues,1,1
112,correct,0,1,0.9,Accurately states no work is allowed while replacement EAD is pending.,Claude,0.070634434,0.929365566,0.764312418,0.776445382,0.3,0.764312418,Admin Issues,1,1
112,correct,0,1,0.95,"GPT-4o correctly states students cannot work while EAD replacement is pending and must have physical EAD card, accurately reflecting USCIS requirement that replacement-pending status doesn't authorize work.",GPT4o,0.313897455,0.686102545,0.731452928,0.69462438,0.2,0.731452928,Admin Issues,1,0
113,partially_correct,0.25,0.75,0.85,"Correct that transfers are possible, but adds teach-outs and extended grace periods not in gold.",Claude,0.076526589,0.923473411,0.744911369,0.755389475,0.5,0.744911369,Admin Issues,0,1
113,correct,0,1,0.9,"GPT-4o correctly advises transferring to another SEVP-certified school or using 60-day grace period, consistent with SEVP procedures when schools close requiring students to maintain status.",GPT4o,0.182304464,0.817695536,0.781207343,0.769902961,0.4,0.781207343,Admin Issues,1,1
114,incorrect,0.6,0.4,0.3,Claude gives U.S. domestic name correction processes unrelated to F-1 requirements; gold focuses on passport update then immigration documents.,Claude,0.844429167,0.155570833,0.518560746,0.719606226,0,0.518560746,Admin Issues,0,0
114,partially_correct,0.1,0.7,0.6,"GPT-4o provides general name correction advice but doesn't emphasize the immigration-specific sequence: update passport first with home country, then request updated I-20s and other document corrections.",GPT4o,0.844453977,0.155546023,0.518486745,0.706975722,0,0.518486745,Admin Issues,0,0
115,incorrect,0.5,0.45,0.55,"Gold states late OPT cannot be filed; Claude suggests USCIS may accept late filings, which is false.",Claude,0.273304672,0.726695328,0.67231776,0.701390115,0.2,0.67231776,Admin Issues,0,1
115,correct,0,1,0.85,"GPT-4o correctly states missed OPT deadline results in denial and advises contacting DSO, exploring other visa options, accurately reflecting SEVP requirement to depart or seek other status.",GPT4o,0.452439473,0.547560527,0.658545229,0.72613356,0.2,0.658545229,Admin Issues,1,0
116,correct,0,1,0.9,"Accurately reflects general expedite criteria for STEM OPT, matching gold.",Claude,0.046215937,0.953784063,0.845946877,0.841423396,0.3,0.845946877,Admin Issues,1,1
116,correct,0,1,0.95,"GPT-4o correctly states STEM OPT expedite requests follow general USCIS expedite criteria with discretionary approval, accurately reflecting that expedite rules apply to STEM OPT applications.",GPT4o,0.04191056,0.95808944,0.860298133,0.852894432,0.4,0.860298133,Admin Issues,1,1
117,correct,0,1,0.95,Correctly states that STEM OPT cannot proceed without a completed I-983.,Claude,0.140736897,0.859263103,0.79013627,0.626795143,0.3,0.79013627,Admin Issues,1,1
117,correct,0,1,0.95,"GPT-4o correctly states without completed I-983 student cannot continue STEM OPT with that employer and must find new employer, accurately reflecting DHS mandatory Form I-983 requirement.",GPT4o,0.128555216,0.871444784,0.830761912,0.656180982,0.5,0.830761912,Admin Issues,1,1
118,correct,0,1,0.95,Accurately describes reinstatement process via I-539.,Claude,0.041565756,0.958434244,0.861447481,0.824130918,0.3,0.861447481,Admin Issues,1,1
118,correct,0,1,0.95,"GPT-4o correctly explains reinstatement requires Form I-539 with DSO support and USCIS grants only if violation was unintentional, accurately reflecting federal F-1 reinstatement procedures.",GPT4o,0.047164546,0.952835454,0.842784846,0.811779539,0.4,0.842784846,Admin Issues,1,1
119,correct,0,1,0.9,Correct overview of I-9 rules; aligns with gold.,Claude,0.058821429,0.941178571,0.803928569,0.774661171,0.2,0.803928569,Admin Issues,1,1
119,correct,0,1,0.9,"GPT-4o correctly states employer must follow federal I-9 procedures and employee must provide valid documents from acceptable lists, consistent with USCIS I-9 verification requirements.",GPT4o,0.047296174,0.952703826,0.842346087,0.790689495,0.1,0.842346087,Admin Issues,1,1
12,hallucination,0.95,0.05,0,"Claude states internships do not need to relate to the major, which contradicts core CPT law; clear fabrication.",Claude,0.877239493,0.122760507,0.40920169,0.761102871,0.1,0.40920169,CPT,0,0
12,incorrect,0.8,0,0,"GPT-4o directly contradicts federal CPT requirements by stating internships don't need to be related to major and provides career advice, when DHS regulations explicitly require CPT be directly related to the major field of study.",GPT4o,0.888421757,0.111578243,0.371923558,0.701602227,0,0.371923558,CPT,0,0
120,incorrect,0.45,0.55,0.65,Claude incorrectly claims OPT denials cannot be appealed; gold states motions/appeals via I-290B are allowed.,Claude,0.084243605,0.915756395,0.719187983,0.740457111,0.2,0.719187983,Admin Issues,0,1
120,correct,0,1,0.95,"GPT-4o correctly states students can appeal OPT denial using Form I-290B or file motion to reopen/reconsider, accurately reflecting USCIS appeal procedures for denied OPT applications.",GPT4o,0.072497772,0.927502228,0.75834076,0.804759027,0.3,0.75834076,Admin Issues,1,1
121,partially_correct,0.2,0.75,0.82,Mostly accurate but adds unrelated financial aid and academic policies beyond immigration scope.,Claude,0.198080096,0.801919904,0.728621901,0.754545422,0.1,0.728621901,Academic Issues,0,1
121,correct,0,1,0.9,"GPT-4o correctly states failing a class doesn't automatically violate F-1 status as long as full-time enrollment is maintained, accurately reflecting USCIS requirement that dropping below full-time enrollment affects status.",GPT4o,0.192059195,0.807940805,0.748814166,0.738744905,0.2,0.748814166,Academic Issues,1,1
122,incorrect,0.4,0.5,0.45,Misses SEVP medical RCL rules and instead describes general university leave policies.,Claude,0.861916649,0.138083351,0.460317646,0.79734918,0.1,0.460317646,Academic Issues,0,0
122,partially_correct,0.2,0.6,0.4,"GPT-4o provides general advice about taking semester off but misses the specific F-1 regulation that DSO can authorize reduced course load for medical reasons including mental health, with up to 12 months allowed per educational level.",GPT4o,0.857162956,0.142837044,0.476123482,0.818524478,0,0.476123482,Academic Issues,0,0
123,partially_correct,0.2,0.78,0.86,Correct about SEVIS update and new I-20 but adds extra OPT implications not in gold answer.,Claude,0.091157852,0.908842148,0.696150947,0.774767856,0.4,0.696150947,Academic Issues,0,1
